Question,Answer 1,#1,Answer 2,#2
Name A Fictional Character Who Hates The Holidays.,Grinch,27,Scrooge,39
Name Something You’d Hate To Get In Your Hair.,Gum,29,Bird Poop,4
Name Something You Use Tweezers To Remove,Hair,51,Splinter,42
Name A Holiday That You Don’t Get To Miss Work For.,Halloween,36,Easter,32
Name Something People Have In Their Cars That Santa Might Like To Have In His Sleigh.,Heater,40,Radio,19
Name Something A Sailor Has To Worry About Crashing Into.,Iceberg,39,Dock,9
Name A Gift That Most Women Like To Get.,Jewelry,47,Clothes,10
Name The Most Popular Christmas Song.,Jingle Bells,39,White Christmas,8
Name Something People Apply For.,Job,59,College,2
Name Something You See In From Yards During The Holidays.,Lights,42,Snow Man,19
Name Something People Use To Decorate Their House For Christmas.,Lights,56,Tree,23
Name Something People Turn Off Before They Go To Bed,Lights,59,Tv,28
Name The Loudest Animal In The Zoo,Lion,41,Elephant,34
Superman Christmas Card ( Key Words Only ),Lois Lane,56,Batman,21
Name A Good Gift For A High School Graduate.,Money,39,Car,39
Name A Board Game People Give As A Holiday Gift.,Monopoly,49,Sorry,2
Name A Relative You’d Rather Not See During The Holidays.,Mother In Law,54,Uncle,2
Name The Month Most People Start Shopping For Holiday Presents.,November,48,December,8
Name A Food That Gets Chopped,Onions,66,Carrots,5
Do On Christmas Eve ( Wording Not Exact ),Open Gifts,40,Go To Church,23
Name Someone Specific You Send A Holiday Card To.,Parents,33,Grandparents,23
Name Something The Godfather Probably Consumes Every Day,Pasta,46,Wine,35
Name Something Many Houses Smell Like Around The Holidays.,Pine Tree,40,Cookies,34
Name A Public Place You Might Sing Out Loud With Other People,Place Of Worship,42,School,5
Name A Beauty Procedure A Woman Wouldn’t Do Herself,Plastic Surgery,58,Waxing,25
Name Something People Buy At The Last Minute For Christmas.,Presents,47,Food,7
Name Something A Person Might Use To Clean Their Belly Button,Q Tip,64,Finger,15
Name A Holiday Song With A Fictional Character.,Rudolph,40,Frosty The Snowman,38
Name Something That Starts With The Word “Santa”,Santa Claus,72,Santa Anna,6
Name A Company Which Sends Out Special Holiday Catalog.,Sears,30,Toys R Us,15
Instead Of Walking Name A Way To Get Around In Snowy Weather.,Ski,28,Snowmobile,20
Name A Snow-Related Activity Santa Might Do To Stay Healthy.,Skiing,47,Snowboard,12
Name Something People Ride On Snow.,Sled,58,Snowmobile,32
Name Something Santa Probably Does The Other 364 Days A Year.,Sleep,53,Makes Toys,21
Even Though He’s Normally Jolly Name A Gripe Santa Claus Might Have About A House He’s Delivering Toys To.,Small Chimney,31,No Cookies,20
Name A Gift You Might Bring Back With You From Mexico.,Sombrero,49,Pinata,16
Name Something Baseball Players Do While They’re In The Dugout,Spit,28,Yell,5
Tell Me Something That’s Hard To Do While Driving In The Snow.,Stop,29,Turn,28
Name A Fruit You Can Buy In The Frozen Food Section,Strawberries,65,Blueberries,9
Name A Holiday When You’d See A Parade.,Thanksgiving,31,Christmas,26
Besides Christmas Tell Me A Holiday That Kids Get Off From School.,Thanksgiving,41,4Th Of July,6
Besides Christmas Name A Holiday Most People Get Off From Work.,Thanksgiving,53,Labor Day,9
Name A Place To Avoid During The Holidays.,The Mall,44,Grocery Store,21
Name Something A Teenager Might Try To Get Away With When Their Parents Are Out Of Town,Throwing A Party,36,Drink,20
Name Something People Buy By The Roll,Toilet Paper,73,Paper Towel,10
What Should You Never Forget To Take To The Beach?,Towel,54,Sunscreen,39
Name Something You Might Ask A Bathroom Attendant For,Towels,51,Toilet Paper,20
Name A Musical Instrument You Blow Into.,Trumpet,26,Sax,12
Name A Department Store Where People Shop During The Holidays.,Wal-Mart,38,Macys,37
Name A Practical Joke You Might Purchase From A Joke Shop,Whoopie Cushion,47,Rubber Chicken,7
Name A Reason Someone Would Return A Gift.,Wrong Size,49,Doesn’t Like It,21
Name A Board Game You’d Like To Get As A Gift,Monopoly,45,Sorry,12
Name Something You’d Need If You Wanted To Make A Teddy Bear,Stuffing,41,Fur,4
Name An Advantage Of Being A Senior Citizen,Discount,85,No Work,4
Name Something You’d Do Around The House That You’d Need A Ladder,Change Light Bulb,31,Clean Gutters,17
Name A Type Of Tv Program People Watch In The Afternoon,Soap Opera,68,Talk Show,13
Name A Place People Go To See Fireworks On New Year’S Eve,Park,36,Downtown,9
Name Something People Do To Cows That The Cows Might Object To,Milking,37,Butcher,8
Name Something Student’S Use In Math Class,Calculator,35,Pencil,28
Why Might Santa Claus Get Pulled Over If He Took His Sleigh On The Freeway,Speeding,47,No Lights,13
Name A Type Of Business Where You Might Drop Something Off And Pick It Up Later,Auto Repair,35,Cleaners,31
Name Something You’d Need If You Wanted To Be A Lawyer,Degree,48,Briefcase,16
Tell Me Something That Makes People Thirsty,Salty Foods,43,Exercise,25
Name Another Word People Call Beer,Brew,28,Ale,17
Name A Famous Country Western Singer Living Or Dead,Garth Brooks,36,Kenny Rogers,12
Name A Game A Family Plays At An Annual Holiday Gathering,Charades,29,Pictionary,6
Name Something Your House Might Smell Like Around The Holidays,Cookies,43,Tree,33
Name A Present You Would Get Your Best Friend For The Holidays,Gift Card,25,Card,14
Name Something That’S Sold At An Airport Gift Shop,Postcards,29,Magazines,19
Name Something You Might Drink On Christmas Eve By The Fire,Egg Nog,54,Cider,11
Name Something That Some People Steal From Restaurants,Silverware,36,Food,10
Name Someone Who’s Is Famous For Playing The Trumpet.,Louis Armstrong,44,Dizzy Gallespie,16
What Could You Find In A Garden Salad But Not In A Garden,Dressing,46,Croutons,29
Besides Football Games Name An Event That Might Be Held In A Football Stadium,Baseball,30,Concert,27
Name Type Of Event Where You Often See Scalpers Outside,Concert,44,Baseball Game,42
Name Your Favorite Food With Peanut Butter Inside.,Peanut Butter Cup,50,Cookie,21
Name A Creature That Doesn’t Have Legs,Snake,61,Fish,18
Name Something Visitors Are Told Not To Do In A Museum,Touch,79,Talk,5
Name A Type Of Test You Can’t Study For,Blood Test,29,Eye Test,17
How Can You Tell That Your Neighbors Are Out-Of-Town,Lights Off,42,Newspaper,25
Name Something A 10-Year-Old Boy Might Ask Santa For,Bike,51,Video Game,21
Name Something Specific Associated With “Who Wants To Be A Millionaire”,Regis,53,Money,31
Name Something People Know About The Titanic,Sank,82,Iceberg,7
Name An Animal That You Hear At Night,Dog,33,Cat,5
Name Something You Shouldn’t Do While You’re Driving,Drink,28,Text,8
Name A Reason Why A Kid Might Be Moved To The Front Of The Class,Bad Behavior,48,Smart,5
Name A Way People Might Greet Each Other,Shake Hands,28,Kiss,5
If A Ten-Year-Old Went On Strike Name Something That Might Be Demanded From The Parents.,Bigger Allowance,42,Toys,6
Besides Cheer Name Something Fans Do At A Baseball Game.,Eat,39,Drink,26
If Your Purse Was Stolen Tell Me The One Thing In It That Would Be Hardest To Replace,Pictures,55,Cash,7
Name Something That Happens In The Fall,Leaves Turn Color,37,School Starts,4
Name A Movie You’d Be Surprised To See A Teenage Boy Watching.,Gone With The Wind,23,High School Musical,8
Name Something Donald Trump Probably Keeps With Him At All Times,Wallet,47,Cell Phone,11
Name A Country That Was Involved In World War II,Germany,58,USA,14
Name Something Irritating That Would Happen When Using A Pay Phone,Doesn’t Make Call,45,Takes Your Money,23
Name A Reason You Wouldn’t Want To Live In New York,Crowded,44,Traffic,11
Name A Bald Actor,Telly Savalas,31,Bruce Willis,12
Name Something People Get Removed From Their Body,Mole,37,Hair,6
Name The Most Important Part Of A Wedding Ceremony,Exchange Rings,28,Minister,21
Name A Food You’d Expect To Find At A Super Bowl Party,Chips And Dip,51,Hot Dogs,16
Name Something Demi Moore Has More Experience In Than Aston Kutcher,Child Rearing,27,Acting,16
Name Something Annoying Kids Say On A Long Car Trip,Are We There Yet?,71,I Need To Go To The Bathroom,21
Name Something You Do On Weekday Mornings That Don’t Have To Do On The Weekend,Go To Work,47,Wake Up Early,44
Tell Me An Excuse People Give The Police When Pulled Over For Speeding.,Didn’t Notice Speed,32,Late,28
Name Something You Color,Coloring Book,43,Hair,26
Name Something You Worry About When It Begins To Rain,Hair Messed Up,45,Car Windows Down,36
Name Something That Goes Up And Down,Elevator,58,Temperature,5
Tell Me Something You Could Avoid By Staying Young Like Peter Pan.,Wrinkles,23,Work,20
Name Something A Zoo Gorilla Might Do If He Wanted To Get Your Attention,Bang On His Chest,29,Grunt,23
Name A Reason You Wouldn’t Want To Drive Behind A Bus,You’re In A Hurry,35,Frequent Stops,19
Name A Sign You Might See In An Apartment Leasing Office That Begins With The Word “No”?,No Pets,50,No Smoking,41
Name A Word You Would Use When Addressing Royalty,Your Highness,39,Sir,19
Name Something Annoying That Men Often Do In Your Bathroom,Leave The Seat Up,34,Get Towels Dirty,21
Name A Way To Get Rid Of Weeds In A Garden,Pull Them,51,Hoe,6
Name A Prop You Would See In An Indiana Jones Movie,Rope,44,Gun,14
Name Something Very Important To Bring On A Long Hike,Water,57,Hiking Boots,18
Name An Article Of Clothing People Get Fitted For,Suit,35,Tuxedo,26
Tell Me A Decoration You Might See At Someone’s Birthday Party,Balloons,48,Streamers,7
Name A Food People Often Eat With Champagne,Strawberries,25,Caviar,24
Name Something You’d See In The Back Seat Of A Car That Would Tell You They Have Children,Car Seat,54,Toys,6
How Many Credit Cards Does The Average Person Have.,3,34,5,22
Name A Fruit That Is Considered Tropical,Pineapple,35,Mango,29
Name A Comic Book Kids Love To Collect,Superman,32,Batman,18
Name Something Cher Is Famous For,Singing,30,Sonny Cher Show,11
Name A Bad Place For A Ball To Land On A Golf Course,Water,64,Sand,22
Name A Class You Might Take If You Wanted To Go To Law School,Political Science,58,English,8
Name Something People Put On Their French Fries.,Ketchup,58,Salt,28
Name Something A Man Might Do At A Bar That He’d Probably Get In Trouble For Doing At Work,Drink,54,Flirting,16
Name Something People Find Under Their Sofa Cushions,Money,80,Food,5
Name Something A New Parent Would Hate To Run Out Of,Diapers,69,Formula,18
Name Something People Add To Oatmeal,Brown Sugar,58,Cinnamon,4
Name A Souvenir A Tourist Might bBring Home From Hollywood,T Shirt,29,Picture,24
Name Something A Telemarketer Tries To Sell You,Phone Service,46,Magazines,20
Name A Famous Woman Tennis Player,Venus Williams,27,Serena Williams,7
Name Something You Might Serve A Dinner Guest Before The Main Course,Salad,41,Appetizer,23
Name Something Little Red Riding Hood Suspected Was Different About Her Grandmother.,Big Teeth,75,Big eyes,15
Name A Good Food To Throw In A Food Fight.,Mashed Potato,49,Pie,24
Name A Noisy Food You’d Hate For Someone To Chomp Next To You At The Movie Theatre.,Popcorn,49,Chips,33
Name A Place Where A Teenage Girl Might Keep Her Diary.,Under Mattress,58,Underwear Drawer,17
Name Something That Might Make Your Voice Sound Different From The Way It Usually Does.,Helium,51,Cold,29
Name An Animal That Lives On Both Land And Water.,Turtle,41,Alligator,16
Name Something People File For.,Divorce,65,Taxes,24
Name A Shakespeare Play Which Was Made Into A Movie.,Romeo And Juliet,34,Hamlet,24
Name A Sport That Can Be Played Both Indoors And Outdoors.,Basketball,36,Hockey,6
Name Something People Do In Their Car That You’d Be Surprised To See A Race Car Driver Do During A Competition.,On Phone,56,Reindeer ?,23
Name A Kind Of Cookie People Love To Dunk In Milk.,Chocolate Chip,54,Oreo,42
Name Something Healthy That Might Be Found In A Cookie.,Oatmeal,43,Nuts,11
Name Something Specific You Might Buy At A Lingerie Store.,Bra,33,Underwear,27
Name A Reason A Student Might Have To Raise Their Hand In Class.,Bathroom,42,Ask Question,13
Name Something Ugly That Can Grow On Your Feet.,Corn,38,Bunion,7
Name a Type Of Shopping That Many People Dislike Doing.,Grocery,58,Christmas,26
Name A Vegetable That People Might Grow In Their Backyard.,Tomato,63,Carrot,7
Name An Ingredient You’d Find In Trail Mix.,Peanuts,26,Raisins,23
Name An Article Of Clothing That Can Be Buckled.,Belt,53,Pants,35
Tell Me How Much Money A Man Expects To Spend On A Date.,$50 ,35,100,22
Tell Me The Hour Of Day When a Grocery Store Is Busiest.,5PM,47,6PM,19
If You Were Married To An NBA Star What Might You Have To Get On Your Tip Toes To Do.,Kiss,52,Hug,25
Name A Football Bowl Game.,Super Bowl,51,Rose Bowl,26
Name Someplace Where You’d See A Diamond.,Jewelry Store,66,Ring,23
Name A Fast Food Restaurant Kids Love.,McDonalds,74,Burger King,8
Name Something You Shouldn’t Take Away From A Baby Unless You Enjoy The Sound Of Screaming.,Bottle,44,Pacifier,24
We Asked 100 Married People: How Many Times In A Week Does Your Partner Say “I Love You”,20,35,7,14
Name A Good Birthday Gift For A Kid Who Wants To Be A Cowboy.,Hat,44,Boots,21
Tell Me A Pet That Lives A Long Time.,Dog,32,Tortoise,18
Name Something Somebody Might Do That Would Make Them A Grinch Or A Scrooge.,Not Give Gifts,33,Hate Christmas,16
In Addition To A Resume What might An Actor Need To Send When Applying For A Job.,Head Shots,52,Video,27
Besides A Motorcycle Name Something Every Biker Dude Should Have.,Helmet,47,Jacket,34
Name Something You’d See At A Very Fancy Restaurant You’d Never Expect To See At McDonalds.,Server,32,Candle,5
Name Something That A Dog Hates Having Done To It.,Bathed,54,Nails Clipped,11
Name A Snack That Goes Great With Coffee.,Donuts,47,Bagel,14
Name A Type Of Vehicles That’s Really Long.,Limo,57,Bus,9
Name Something That Lives Underground.,Mole,32,Worm,31
If Frankenstein Threw A Party Name Someone Who Might Be On His Guest List.,Dracula,41,Bride of Frankenstein,26
Name A Dairy Item That’s Sold As Non-fat.,Milk,32,Cheese,13
Name Something A Guy Might Take With Him To A Poker Game.,Money,54,Beer,17
Name Something You’d Find At Most Amusement Parks.,Roller Coaster,51,Merry Go Round,6
Name A Way You Can Tell There’s Someone At Your Front Door.,Door Bell,62,Knock,18
Name A Bird With Really Long Legs.,Ostrich,48,Flamingo,24
Name Something That’s Shaped Like A Donut.,Tire,59,Bagel,16
Name A Term That Describes Someone Who Comes In At First Place.,Winner,79,Champ,5
How Would You Enter A Swimming Pool If You Wanted To Get Noticed.,Dive,50,Cannon Ball,29
Name Something A Car Can’t Run Without.,Gas,70,Engine,5
Tell Me Something A Store Owner Can’t Sell To A Minor.,Cigarettes,49,Alcohol,44
Name Something You Might Do On Vacation In Florida.,Swim,31,Fish,5
Name Something People Buy At The Last Minute Before Thanksgiving.,Turkey,46,Talk,14
Name Someone Real Or Fictional Who Was Very Greedy.,Scrooge,75,Trump,12
Name Something That Couples Should Do Together Regularly In Order To Stay Connected.,Talk,44,Sex,38
In What Profession Might Someone Have Their Legs Insured.,Athlete,38,Modeling,33
Name A Place In The House Where People Store Old Clothes.,Basement,42,Attic,30
Name A Color Most People Wouldn’t Want To Paint Their House.,Black,27,Pink,25
If There Was A Fire At The Zoo Name An Animal A Fireman Would Have Trouble Carrying Out By Himself.,Elephant,53,Lion,4
Name Something That’s Usually More Expensive At Department Stores Than At Drug Stores.,Clothes,48,Perfume,11
Name A Complaint A Person Might Have About Their Dance Partner.,Step On Feet,42,Clumsy,30
After Thanksgiving Name A Food You Make All Of The Leftover Turkey,Turkey Sandwich,51,Stew,39
Name Something You’d Do Differently If You Worked From Home Instead Of An Office.,Casual Dress,47,Sleep,39
Name Something People Remember About The TV Show “Cheers”,Bar,35,Norm,29
Name A TV Soap Opera That’s Been On For Years.,Days Of Our Lives,34,Young And Restless,19
Name Something You Might Find On Your Lawn That You’d Hate To Find On Your Carpet.,Dog Poop,77,Bugs,7
Name A Place Where People Aren’t Afraid To Sing Really Loud.,Place Of Worship,39,Concert,10
Name A Song Made Famous By The Beach Boys.,California Girls,31,Surfin USA,21
Name A Beverage Served At Fancy Restaurants.,Wine,32,Champagne,15
Name A place Where You’d See A lifeguard.,Beach,52,Pool,44
Name Something A Dog Might Be Wearing.,Collar,82,Leash,7
Name A Vegetable That Makes A Loud Noise When You Eat It.,Carrot,55,Celery,38
We Asked 100 Eleven Year Olds: Name A Game You Play In A Swimming Pool.,Marco Polo,77,Volleyball,5
If You Were Starting Your Own Business Tell Me The First Thing You’d Need.,Money,83,Phone,2
If A Husband Found Out His Wife Had A Bad Day At Work Name Something He Might Do To Make Her Feel Better.,Cook Dinner,48,Massage,17
Tell Me A Woman’s Name That Starts With The Letter “K”,Kathy,25,Karen,13
Name Something A Caveman Might Use To Fight A Sabre-Toothed Tiger.,Club,68,Spear,8
Name Something You Would Get On A Thanksgiving Pizza.,Turkey,52,Gravy,5
Name A Reason You Might Send A Bowl Of Soup Back.,Cold,38,Doesn’t Taste Good,8
What Is Something Associated With The Movie “The Exorcist”,Devil,31,Possession,5
Name Something The Stars Eat That You Probably Would Not Find In middle America.,Sushi,40,Caviar,32
On An Average Night How Long Does It Take You To Fall Asleep?,1 Hour,42,10 Minutes,16
Name An Instrument In An Orchestra.,Violin,47,Cello,4
Tell Me Something You Wish Would Stop Growing So You Didn’t Have To Deal With It,Hair,41,Nails,24
Name A Place Where You Stand In Line But Nobody’s In A Hurry,Church,43,Amusement Park,14
Name Something Children Get In Their Hair.,Gum,57,Food,6
Name Something A Man Might Still Do For A Woman When They Go Out On A Date.,Open Doors,72,Pay,13
Name Something A Man Might Do In His Sleep That His Wife Might Think Is Cute.,Talk,43,Snore,15
Name Something In People Do To Eliminate Body Odor.,Shower,51,Deodorant,44
Name Something You’d Probably Find In Most Mansions.,Butler,31,Chandelier,17
Name Something Madonna Has That The Average Woman Might Envy.,Money,52,Body,15
Name Something One Person In A Relationship Does Too Soon That Scares The Other One Away.,Talk Marriage,39,Say I Love You,27
If They Did A Show Called “Who Wants To Marry A Billionaire” Name Someone They Might Get As The Groom.,Donald Trump,34,Bill Gates,32
Name The Worst Thing You Could Forget On Your Wedding Day.,The Ring,59,Dress,3
Name A Job That’s Still Primarily Held By Women.,Nurse,35,Receptionist,29
Name Something A Woman Might Do To Her 12 Year Old Son That Would Cause Him To Say “Mom I’m Too Old For This”,Kiss Him In Public,48,Clean Face,18
How Can You Tell That Two People Are On A First Date.,Seem Nervous,55,Hold Hands,35
Which Subject Would Be Taboo For The Best Man To Bring Up In His Wedding Toast.,Couple’s Love Life,49,Bachelor Party,3
Name Something You’re Expected To Do If You’re Attending A Wedding.,Bring A Gift,47,Dress Well,23
Name Something A Bride Worries Might Happen On Her Wedding Day.,Groom Does Not Show,71,Rain,18
Name Something A Man Does To Prepare For A Date.,Shower,38,Shave,31
Name Something Pregnant Women Are Warned Not To Do.,Drink Alcohol,42,Smoke,34
If You Turned Into A Kangaroo Name Something You’d Have To Get Used To.,Hopping,54,Large Tail,3
Name A Food Item Typically Associated With Fall.,Pumpkin Pie,44,Turkey,23
Name Something That’s Sold At An Airport Gift Shop.,Postcards,29,Magazines,19
Name the one person who is always tough to choose a gift for,Parents,45,Spouse,15
Name Something You Might See On A Brochure Advertising A Trip To New York City,Statue Of Liberty,33,Empire State Building,25
Name Something Kids Like To Snack On Between Meals,Candy,23,Chips,12
Name A Specific Kind Of Pepper People Put In Their Food,Black,47,Bell,6
Name A Reason School Might Be Closed,Weather,46,Holiday,22
Name Something That Distracts You In A Car,Radio,31,Kids,21
Name Someone Who Might Carry A Torch,Statue Of Liberty,36,Olympic Runner,35
Name Something People Know About Dumbo,Big Ears,50,Elephant,21
Name Something You Hook Up To A TV,DVD’s,49,Cable,25
Name A Bird That Has Good Eyesight,Owl,52,Eagle,35
Name Something You Might Need In Order To Do Your Laundry,Soap,60,Washing Machine,19
Name A Type Of Store You’d Find In Just About All Shopping Malls,Clothing,26,Department,11
Name A Profession In Las Vegas That Makes really Good Tips,Waitress,35,Dealer,31
Besides CD’s Name Something A Music Store Might Sell,DVD’s,45,MP3 Players,19
Name A vehicle Where Passengers Can Also Stand While Riding,Bus,53,Subway,17
Name Something Adults Do Even Though They Know It’s Bad For Their Health,Smoke,81,Drink,16
Name Something Parents Wish A Baby Could Do For Themselves,Change Diapers,48,Feed Themselves,38
Name Something Birds Do That A Human Would Look Rediculous Doing,Fly,40,Eat Worms,14
Name A Toy That You Could Buy Your Friend’s Child That Might Ruin Your Friendship,Water Gun,54,Drums,41
Name A Place Where It Is Rude To Take Out Your Cell Phone,Cinema,24,Church,22
Name A Way You Might Try To Stay Awake While Driving,Roll Window Down,30,Turn Music On,21
Name something Germans Are Famous For Making,Beer,40,Cars,42
Name A Specific Part Of Batman’s Costume,Cape,47,Mask,28
Name Something You’d Hate To Forget If You Were Going Camping,Tent,39,Legs,21
Name Something A Cyclist Would Bring With Him Other Than His Bicycle,WATER,58,KNIFE,41
Name A Holiday That You Don’t Get To Miss Work For,EASTER,32,VALENTINE’S DAY,31
Name A Job Which You Need To Wash Your Hands Often,NURSE,48,COOK,38
Name Something On Everyone’s Driver License,DATE OF BIRTH,34,NAME,25
Name A Reason A Mail Man Might Have A Bad Day On His Route,Got Bit By A Dog,52,Rain,39
Name Something A Suspicious Girlfriend May Check In Her Boyfriend’s Cell Phone,Messages,38,Phone Calls,33
Name Something You Might Have To Do If You Got A Speeding Ticket,Pay Money,42,Go To Court,35
Tell Me Something Specific You Should Drink A Lot Of When You’re Sick,Water,44,Orange Juice,38
What Kind Of Bagel Would You Avoid Eating Before An Interview,Onion,59,Garlic,35
Tell Me Something You’d Be Nervous About Loaning To A Friend,Money,48,Car,34
Name a non-alcoholic drink you can get at a bar.,Soda,27,Shirley Temple,20
What would you do if you found a lost wallet at a store,Return It,49,Keep It,33
Name an animal you’d see at Sea World,Whale,25,Seal,20
Name something parents wish a baby could do for himself,Go To Bathroom,48,Eat,38
Name something you need to play a game of ping-pong,Racket,50,Ball,32
Name Something Kids Forget When Leaving For School,Lunch,27,Backpack,20
Name Something That Annoys You When You Ride The Bus,Talking,25,Crowded,19
Name Something You Have Accidentally Locked Yourself Out Of.,Car,53,House,34
Name A Good Job For Someone Who Likes To Work Outdoors,Gardener,36,Builder,34
Name A Brand Of Toothpaste You See In Just About Every Drugstore,Crest,63,Colgate,32
If Christmas Were In July Name A Holiday Symbol That Wouldn’t Exist.,Snowman,51,Pine Tree,17
Name A Bird Usually Associated With Christmas.,Dove,45,Turkey,13
Name A Circus Act That Requires A Net.,Trapeze Artist,48,Acrobat,4
Name A Place Where You Could See A Lot Of Fit People.,Gym,80,Sports Event,4
Name A Place Where You Might See A Clown,Circus,83,Fair,2
Name A Reason People Have A Garage Sale.,Get Rid Of Junk,57,Need Money,19
Name A Specific Reason Why People Drink Coffee.,To Wake Up,32,Taste,5
Name A Way A Student Finds Out It Is A Snow Day.,Radio,33,Parents,4
Name An Article Of Clothing That Would Be Silly To Wear In The Snow.,Shorts,46,Tank Top,7
Name Something Hollywood Could Do To Make Better Movies.,Better Actors,39,Better Stories,12
Name Something That Might Be Pinned To A Shirt.,Name Tag,48,Broach,16
Name Something You Put On Before Going Out Into The Snow.,Snow Boots,40,Gloves,17
Name Something You’d See At The Olympic Opening Ceremony.,Lighting Of The Torch,44,Athletes,13
Name The Most Stressful Holiday.,Christmas,47,Thanksgiving,13
Name The Worst Thing That Can Happen In The Snow.,Car Accident,42,Freeze To Death,14
Where Might You Take Someone On A Date If You Wanted To See Them In Less Clothing.,Beach,41,Swimming Pool,15
Name A Career Or Source Of Income That Makes Getting Into Heaven A “Long Shot”?,Lawyer,39,Politician,6
Besides Thanksgiving Name A Holiday You Celebrate With A Lot Of Food.,Christmas,65,New Year’s,5
Name A Place You’d Find Ice.,Freezer,48,Hockey Rink,5
Name A Really Small State.,Rhode Island,61,New Hampshire,2
Name An Appliance You Have In You Home That Your Grandparents Didn’t,Microwave,41,Computer,4
Name One Of Santa’s Reindeer.,Rudolph,52,Blitzen,9
Name Something About Your Car That’s Different When The Parking Attendant Brings It Back.,Seats Moved,47,Radio Station,5
Name Something You’re Asked To Do At The Eye Doctor’s Office.,Read Chart,45,Close One Eye,10
If There Is A Doggy Heaven Name Something It Probably Has A Lot Of.,Bones,34,Fire Hydrants,9
Name Something People Take Out Of Storage In The Fall.,Warm Clothes,48,Rakes,14
Name Something You’d Buy For A Dog You’d Never Buy For A Cat.,Bone,60,Leash,7
Name Something They Sell In A Survival Store.,Hunting Knives,43,Flashlight,10
Name A Place You Associate With Palm Trees.,Florida,50,Hawaii,14
Name Something On Grandma That Might Be Fake.,Teeth,67,Ring,2
Name Something You Know About Alcatraz.,Prison,44,Island,8
Name A Job That’s Still Primarily Held By Women.,Nurse,35,Waitress,6
Name A Reason Why The Speed Limit Might Suddenly Go Down In One Area.,School Zone,49,Town,17
Name Something You Might Find At A Seance.,Crystal Ball,26,Tarot Cards,7
Name Something That People Hang Outside.,CLothes,52,Lights,9
Name A Good Material For A Winter Coat.,Wool,44,Fleece,7
